site,sector,country,tls_version,key_exchange,cdn,attribution
goias.gov.br,gov,BRAZIL,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
imovelweb.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
diariodocomercio.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
colaboraread.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Microsoft (Azure),No PQC
pciconcursos.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
goodreturns.in,web,INDIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
aajtak.in,web,INDIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
parivahan.gov.in,gov,INDIA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
redbus.in,web,INDIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
screener.in,web,INDIA,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
lotterysambadresult.in,web,INDIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
examinationservices.nic.in,web,INDIA,TLSv1.2,"X25519, 253 bits",Self-hosted,No PQC
mnregaweb4.nic.in,web,INDIA,TLSv1.2,"X25519, 253 bits",Self-hosted,No PQC
sdpay.co.in,web,INDIA,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
npci.org.in,web,INDIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
digitallocker.gov.in,gov,INDIA,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
lnkd.in,web,INDIA,TLSv1.3,"ECDH, secp521r1, 521 bits",Azure Front Door,No PQC
indiatoday.in,web,INDIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
rajasthan.gov.in,gov,INDIA,TLSv1.3,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
groww.in,web,INDIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
airtel.in,web,INDIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
olx.in,web,INDIA,TLSv1.3,X25519MLKEM768,Amazon (AWS),PQC via provider
tripadvisor.in,web,INDIA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
